"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 2017","118.70","116.00","121.10","113.95","17.25M","6.55%"
"Dec 30, 2016","111.40","110.00","113.25","109.95","9.77M","0.91%"
"Dec 29, 2016","110.40","107.50","111.80","106.45","8.04M","2.70%"
"Dec 28, 2016","107.50","108.30","109.40","106.10","7.99M","-0.69%"
"Dec 27, 2016","108.25","103.50","109.00","101.00","16.37M","2.95%"
"Dec 26, 2016","105.15","112.30","113.00","104.35","14.95M","-7.56%"
"Dec 23, 2016","113.75","114.25","115.95","113.25","4.78M","-1.26%"
"Dec 22, 2016","115.20","117.00","118.45","114.20","11.11M","-1.92%"
"Dec 21, 2016","117.45","113.05","118.35","113.05","11.69M","3.89%"
"Dec 20, 2016","113.05","112.50","113.70","111.25","6.90M","1.12%"
"Dec 19, 2016","111.80","112.00","112.55","111.25","2.90M","-0.04%"
"Dec 16, 2016","111.85","113.15","113.40","111.00","4.45M","-0.75%"
"Dec 15, 2016","112.70","111.40","114.00","111.25","4.74M","0.22%"
"Dec 14, 2016","112.45","112.60","114.50","112.00","4.97M","0.31%"
"Dec 13, 2016","112.10","113.55","113.85","110.80","6.83M","-1.06%"
"Dec 12, 2016","113.30","116.00","116.70","112.25","8.91M","-1.39%"
"Dec 09, 2016","114.90","113.50","115.90","113.20","5.84M","1.59%"
"Dec 08, 2016","113.10","113.55","114.95","112.45","7.45M","1.03%"
"Dec 07, 2016","111.95","116.10","117.50","110.80","7.46M","-3.49%"
"Dec 06, 2016","116.00","115.05","117.00","114.40","6.91M","2.11%"
"Dec 05, 2016","113.60","109.75","115.35","109.35","7.30M","3.41%"
"Dec 02, 2016","109.85","110.25","111.85","109.05","8.69M","-2.14%"
"Dec 01, 2016","112.25","115.20","115.85","111.50","7.19M","-2.39%"
"Nov 30, 2016","115.00","114.90","116.20","113.25","5.83M","0.09%"
"Nov 29, 2016","114.90","113.70","116.90","113.05","7.59M","1.50%"
"Nov 28, 2016","113.20","112.25","114.60","111.80","6.71M","0.80%"
"Nov 25, 2016","112.30","113.75","114.50","110.00","10.49M","-0.66%"
"Nov 24, 2016","113.05","114.45","115.90","111.80","12.91M","-3.46%"
"Nov 23, 2016","117.10","113.45","117.75","112.20","16.48M","5.12%"
"Nov 22, 2016","111.40","109.00","112.95","104.15","16.34M","2.58%"
"Nov 21, 2016","108.60","116.10","117.00","107.35","14.31M","-6.70%"
"Nov 18, 2016","116.40","112.85","117.00","110.55","11.16M","3.84%"
"Nov 17, 2016","112.10","108.40","113.40","107.30","13.92M","3.27%"
"Nov 16, 2016","108.55","116.55","118.85","107.50","17.64M","-5.11%"
"Nov 15, 2016","114.40","114.10","118.20","110.35","14.04M","-1.76%"
"Nov 11, 2016","116.45","121.00","121.35","112.60","23.76M","-7.21%"
"Nov 10, 2016","125.50","120.45","136.35","120.30","32.70M","5.82%"
"Nov 09, 2016","118.60","129.05","129.05","108.35","36.19M","-17.27%"
"Nov 08, 2016","143.35","144.55","144.80","141.25","4.03M","-0.49%"
"Nov 07, 2016","144.05","141.00","145.25","140.60","7.38M","3.41%"
